Site,Transect,Depth,Depth_string,Site_depth,P_Actin,P_GramNeg,P_GramPos,P_SapFun,P_ArbMyc,P_Rhiz,P_Proto,PLFA,P_Bact,P_Fun,P_Undiff,Fun_Bac,MWD,P_FDA,P_wagg,P_stone,P_sand,P_clay,P_moist,EC,pH,P_OM,P_OC,P_AC,P_TC,P_TN,APmgL
Desert,1,0_1,surf,Desert_surf,4.19,14.00,12.33,3.03,0.00,0.00,0.00,744.54,26.33,3.03,70.64,0.12,0.37,66.76,16.40,40.41,80.00,6.46,1.16,0.06,7.54,0.40,0.23,0.02,0.32,0.03,6.42
Desert,2,0_1,surf,Desert_surf,5.13,15.17,12.05,4.26,0.00,0.00,0.00,658.07,27.22,4.26,68.52,0.16,0.32,66.77,16.11,32.45,78.36,5.96,1.59,0.05,7.15,0.43,0.25,0.04,0.30,0.03,6.42
Desert,3,0_1,surf,Desert_surf,5.26,14.22,14.03,3.08,0.00,0.00,0.00,626.65,28.25,3.08,68.66,0.11,0.38,69.59,16.12,58.26,78.83,7.52,1.11,0.04,7.06,0.38,0.22,0.03,0.42,0.03,6.18
Desert,1,1_5,sub,Desert_sub,8.62,7.69,15.92,1.25,0.00,0.00,0.00,554.59,23.61,1.25,75.14,0.05,0.28,70.43,20.97,75.72,77.14,7.48,4.35,0.05,7.06,0.11,0.06,0.03,0.54,0.03,7.28
Desert,2,1_5,sub,Desert_sub,4.62,2.39,7.05,0.00,0.00,0.00,0.00,473.81,9.44,0.00,90.56,0.00,0.52,59.48,11.52,47.92,78.00,6.97,3.01,0.05,7.36,0.49,0.28,0.03,0.42,0.04,4.73
Desert,3,1_5,sub,Desert_sub,8.64,4.87,15.46,0.00,0.00,0.00,0.00,511.00,20.33,0.00,79.67,0.00,0.39,61.91,20.21,75.12,78.54,6.48,2.90,0.04,7.77,0.13,0.08,0.04,0.43,0.03,4.97
Farm,1,0_1,surf,Farm_surf,6.13,19.11,19.77,4.97,1.72,0.00,0.00,2452.11,38.87,6.69,54.44,0.17,2.07,16.84,52.74,0.97,33.20,28.51,3.10,0.10,7.94,2.16,1.26,0.03,1.96,0.10,39.34
Farm,2,0_1,surf,Farm_surf,5.05,16.87,16.90,3.79,0.87,0.00,0.00,2454.93,33.77,4.66,61.56,0.14,2.01,15.45,9.04,0.47,37.95,28.25,2.97,0.15,7.94,2.02,1.17,0.04,1.77,0.09,48.02
Farm,3,0_1,surf,Farm_surf,7.18,25.22,22.39,7.79,2.01,0.00,0.00,2275.42,47.62,9.80,42.58,0.21,1.98,19.26,9.12,0.20,39.33,28.21,3.74,0.22,7.90,2.16,1.26,0.05,1.99,0.10,55.28
Farm,1,1_5,sub,Farm_sub,8.53,19.87,24.56,5.46,2.38,0.00,0.00,1807.97,44.43,7.84,47.73,0.18,2.59,11.33,14.80,2.50,32.78,28.43,9.78,0.12,7.84,1.98,1.15,0.03,1.81,0.07,36.72
Farm,2,1_5,sub,Farm_sub,8.92,19.49,25.54,6.05,2.05,0.00,0.00,1692.39,45.03,8.10,46.88,0.18,1.85,15.83,16.82,0.50,33.70,27.45,13.86,0.30,7.76,2.18,1.26,0.05,2.04,0.11,54.98
Farm,3,1_5,sub,Farm_sub,8.84,23.40,25.19,7.64,2.67,0.00,0.36,2326.84,48.59,10.31,40.74,0.21,1.66,15.77,15.06,2.17,40.33,29.10,13.76,0.14,7.96,2.19,1.27,0.04,1.79,0.09,46.73
Turf,1,0_1,surf,Turf_surf,2.05,39.86,6.82,14.28,2.58,0.00,0.34,3534.02,46.68,16.86,36.13,0.36,0.59,54.47,72.88,31.35,76.58,7.44,0.30,0.59,8.02,0.85,0.49,0.03,0.90,0.05,25.76
Turf,2,0_1,surf,Turf_surf,2.82,23.73,10.44,7.72,0.00,0.00,0.00,1817.06,34.16,7.72,58.12,0.23,0.45,47.33,73.21,28.98,76.51,8.46,1.22,0.43,8.13,0.69,0.40,0.03,0.88,0.06,26.64
Turf,3,0_1,surf,Turf_surf,1.77,37.18,7.33,11.14,2.72,0.00,0.29,4370.01,44.51,13.86,41.34,0.31,0.54,54.18,77.41,23.46,76.67,7.94,1.63,0.41,8.26,0.79,0.46,0.03,0.94,0.06,34.22
Turf,1,1_5,sub,Turf_sub,4.57,9.60,11.18,1.83,0.00,0.00,0.00,591.58,20.78,1.83,77.39,0.09,0.40,54.34,7.02,18.11,78.95,7.47,4.60,0.12,8.09,0.44,0.26,0.03,0.81,0.04,21.24
Turf,2,1_5,sub,Turf_sub,8.69,20.81,24.31,7.20,2.97,0.00,0.00,831.45,45.12,10.17,44.71,0.23,0.61,53.00,9.34,17.65,76.30,8.51,6.61,0.13,8.49,0.54,0.31,0.03,0.70,0.04,26.11
Turf,3,1_5,sub,Turf_sub,9.15,18.56,24.43,4.80,2.39,0.00,0.00,688.94,42.99,7.18,49.82,0.17,0.46,48.92,9.45,17.69,76.36,8.50,6.27,0.13,8.43,0.58,0.33,0.03,0.79,0.05,25.93
